epoch,time_s,loglik,residual,rel_change
1,2.842122,-20017427.09,59.36350738,0
2,2.769695,-488251.8842,0.05950344001,0.1386402359
3,2.764708,-481436.5969,0.05260184356,0.07376972417
4,2.769933,-479992.2525,0.05273679595,0.05026015619
5,2.766001,-479404.7405,0.05379836975,0.03793566215
6,2.767182,-479111.5715,0.05489517566,0.03123439726
7,2.750702,-478940.3179,0.05587317251,0.02659938453
8,2.767423,-478834.3967,0.05673297578,0.0227541447
9,2.767263,-478750.5558,0.05748007358,0.02008520098
10,2.766195,-478691.7464,0.05813521851,0.01861496188
11,2.766125,-478642.6249,0.05873926033,0.01677421734
12,2.766248,-478604.4857,0.05928694815,0.0159151689
13,2.766877,-478571.1146,0.05979110985,0.01721314483
14,2.766348,-478535.4508,0.06025072117,0.01318374866
15,2.769409,-478511.7238,0.06069038102,0.01262381253
16,2.768533,-478484.5131,0.06107812544,0.01285021258
17,2.761029,-478464.1444,0.06146729101,0.01248882977
18,2.747273,-478447.5081,0.06181917614,0.01122780028
19,2.766655,-478431.703,0.06215602147,0.01147567775
20,2.745588,-478421.8858,0.06249783468,0.0113493006
21,2.761550,-478412.6215,0.06278750744,0.01058971256
22,2.767121,-478403.4549,0.0630870835,0.01046247331
23,2.753914,-478394.6403,0.06339171403,0.01062635975
24,2.768239,-478384.7016,0.06365476221,0.008490869865
25,2.748061,-478375.3214,0.06391635763,0.009488275196
26,2.768450,-478367.1649,0.06417648251,0.008973455708
27,2.751991,-478362.9644,0.06440624929,0.007301038057
28,2.767691,-478357.2312,0.06463508737,0.008767777328
29,2.771192,-478352.3199,0.06487161821,0.008309164323
30,2.767138,-478350.3364,0.06507832285,0.007027503265
31,2.767478,-478346.1211,0.06528441959,0.008125145988
32,2.765776,-478343.1448,0.0654972442,0.008131657252
33,2.767491,-478336.0708,0.06568344169,0.006708834484
34,2.764900,-478327.6192,0.06587106277,0.008174935811
35,2.770684,-478322.5706,0.06606177275,0.007813054542
36,2.748740,-478317.9152,0.06623092733,0.008341367817
37,2.767388,-478315.5449,0.06640843349,0.007583682431
38,2.751485,-478312.8932,0.06658931367,0.007623225819
39,2.768180,-478312.8115,0.06674210651,0.006290901648
40,2.769555,-478312.048,0.06689815683,0.007556759796
41,2.767030,-478311.1722,0.06707033556,0.007448661621
42,2.766372,-478310.1724,0.06721568374,0.005784991763
43,2.766347,-478308.132,0.06736543904,0.007450761767
44,2.766667,-478306.1147,0.06751696466,0.007089848432
45,2.765779,-478304.2832,0.06765120248,0.005184745525
46,2.767206,-478302.3791,0.06778754749,0.006965020021
47,2.750296,-478300.2614,0.06793099229,0.007007870804
48,2.766085,-478298.063,0.0680526111,0.005512392445
49,2.750053,-478296.3591,0.06817692928,0.007095196049
50,2.766537,-478295.3645,0.06831151794,0.007496843094
51,2.750568,-478293.0257,0.06842140196,0.005185303184
52,2.766571,-478291.7506,0.06854264331,0.006693569971
53,2.766120,-478290.28,0.0686640835,0.006748086701
54,2.768750,-478289.0237,0.06877016134,0.005432195032
55,2.766004,-478289.4574,0.0688787985,0.006635957659
56,2.753844,-478289.2528,0.06899563774,0.006563184054
57,2.769950,-478287.4843,0.06908876061,0.004839364639
58,2.747630,-478286.1663,0.06918966875,0.006732648994
59,2.767732,-478285.3825,0.06930568067,0.006707241202
60,2.767852,-478284.1126,0.06938900466,0.004614486486
61,2.765428,-478283.9086,0.06948554848,0.006273259408
62,2.770218,-478283.7347,0.06959005921,0.006714346976
63,2.766696,-478282.4912,0.06966637454,0.004903300986
64,2.767327,-478281.278,0.06976035235,0.006674851823
65,2.766254,-478281.2177,0.06984978841,0.006758721022
66,2.764649,-478280.6189,0.06993266567,0.00513787647
67,2.748710,-478280.9646,0.07001864348,0.006186511232
68,2.767366,-478281.5826,0.07011542945,0.006601377829
69,2.747345,-478280.6523,0.07017859454,0.005001938579
70,2.770974,-478280.2665,0.07026267657,0.006123709785
71,2.764979,-478279.8861,0.07034500343,0.005998285962
