epoch 1/20  1634.7s
epoch 2/20  1625.5s
epoch 3/20  1627.0s
epoch 4/20  1626.0s
epoch 5/20  1625.7s
epoch 6/20  1625.4s
epoch 7/20  1622.5s
epoch 8/20  1626.3s
epoch 9/20  1623.0s
epoch 10/20  1620.0s
epoch 11/20  1623.2s
epoch 12/20  1625.6s
epoch 13/20  1624.4s
epoch 14/20  1624.4s
epoch 15/20  1626.2s
epoch 16/20  1624.5s
epoch 17/20  1625.0s
epoch 18/20  1623.1s
epoch 19/20  1623.7s
epoch 20/20  1628.1s
